DateTime,Volum_BG,"< 5,6m_BG",">= 5,6m_BG",Volum_BV,"< 5,6m_BV",">= 5,6m_BV",Volum_KO,"< 5,6m_KO",">= 5,6m_KO",Volum_SK,"< 5,6m_SK",">= 5,6m_SK"
1/1/2022 0:00,283,282,1,313,308,4,270,268,2,303,298,5
1/1/2022 1:00,176,174,2,249,243,5,148,148,0,233,227,6
1/1/2022 2:00,148,146,2,167,150,10,104,103,1,164,157,7
1/1/2022 3:00,106,102,3,116,112,3,84,82,2,106,102,4
1/1/2022 4:00,54,53,1,71,65,3,46,46,0,69,67,1
1/1/2022 5:00,28,23,5,33,31,2,32,27,5,55,51,4
1/1/2022 6:00,24,21,3,49,47,2,23,19,4,55,51,4
1/1/2022 7:00,50,46,4,122,117,5,36,31,5,83,82,1
1/1/2022 8:00,29,27,2,38,36,2,20,19,1,49,47,2
1/1/2022 9:00,29,27,2,54,50,4,26,21,5,36,35,1
1/1/2022 10:00,50,42,8,79,71,8,46,39,7,67,65,2
1/1/2022 11:00,101,96,5,155,149,6,79,72,7,103,101,2
1/1/2022 12:00,180,174,6,217,209,8,120,110,10,200,191,9
1/1/2022 13:00,240,232,8,304,288,16,172,161,11,264,253,11
1/1/2022 14:00,319,310,9,478,472,6,220,210,10,363,357,6
1/1/2022 15:00,389,379,9,497,485,10,255,244,11,387,382,5
1/1/2022 16:00,347,337,10,470,460,9,216,203,13,363,352,11
1/1/2022 17:00,307,302,5,405,396,7,201,191,10,351,345,6
1/1/2022 18:00,263,252,11,330,311,14,160,147,13,286,281,5
1/1/2022 19:00,220,215,5,341,331,8,165,160,5,246,243,3
1/1/2022 20:00,236,231,5,271,264,7,152,141,11,208,207,1
1/1/2022 21:00,182,177,5,287,277,10,123,115,8,206,203,3
1/1/2022 22:00,132,129,3,225,217,7,81,75,6,160,157,3
1/1/2022 23:00,88,81,7,115,108,7,54,49,5,95,93,2
1/2/2022 0:00,53,49,4,89,79,4,49,43,6,66,63,3
1/2/2022 1:00,33,33,0,59,52,3,31,30,1,50,47,3
1/2/2022 2:00,18,18,0,38,33,2,18,17,1,24,24,0
1/2/2022 3:00,7,7,0,26,22,0,7,7,0,18,18,0
1/2/2022 4:00,4,4,0,13,11,2,7,7,0,9,9,0
1/2/2022 5:00,11,11,0,14,11,3,7,6,1,17,15,2
1/2/2022 6:00,18,15,3,45,42,3,13,8,5,46,34,12
1/2/2022 7:00,42,38,4,145,142,3,35,30,5,104,102,2
1/2/2022 8:00,49,47,2,90,87,3,40,38,2,60,58,2
1/2/2022 9:00,48,43,5,103,101,2,22,19,3,84,79,5
1/2/2022 10:00,127,122,5,169,161,8,65,62,3,124,117,7
1/2/2022 11:00,183,176,7,241,231,10,138,129,9,224,221,3
1/2/2022 12:00,332,323,9,387,378,9,207,194,13,359,353,6
1/2/2022 13:00,476,468,8,508,490,18,355,343,12,535,518,17
1/2/2022 14:00,554,542,12,684,671,12,373,358,15,620,610,10
1/2/2022 15:00,550,543,7,661,645,15,358,343,15,652,635,17
1/2/2022 16:00,461,449,12,612,593,15,260,250,10,529,521,8
1/2/2022 17:00,401,392,9,516,494,20,231,217,14,387,380,7
1/2/2022 18:00,386,373,13,455,441,13,200,189,11,357,353,4
1/2/2022 19:00,339,330,9,448,438,9,225,216,9,327,317,10
1/2/2022 20:00,265,258,7,368,360,7,177,167,10,290,285,5
1/2/2022 21:00,205,197,8,324,314,10,142,130,12,242,238,4
1/2/2022 22:00,142,134,8,264,258,6,106,100,6,194,192,2
1/2/2022 23:00,84,78,6,133,124,7,69,61,8,122,119,3
1/3/2022 0:00,46,41,5,62,56,6,35,31,4,57,55,2
1/3/2022 1:00,21,21,0,31,30,1,19,17,2,29,28,1
1/3/2022 2:00,7,7,0,18,17,1,5,5,0,25,25,0
1/3/2022 3:00,6,6,0,19,18,1,5,5,0,16,14,2
1/3/2022 4:00,8,7,1,17,15,2,7,6,1,18,18,0
1/3/2022 5:00,28,25,3,59,55,4,34,25,9,61,54,7
1/3/2022 6:00,101,88,13,223,200,23,69,48,21,231,205,26
1/3/2022 7:00,480,447,33,983,936,47,309,257,52,773,715,58
1/3/2022 8:00,399,359,40,570,525,45,312,257,55,549,479,70
1/3/2022 9:00,391,343,48,553,512,41,271,218,53,443,371,72
1/3/2022 10:00,436,400,36,712,664,47,300,257,43,507,444,63
1/3/2022 11:00,432,393,39,759,709,48,321,270,51,587,522,65
1/3/2022 12:00,464,429,35,839,786,53,321,276,45,633,553,80
1/3/2022 13:00,514,471,43,941,881,60,400,345,55,706,601,101
1/3/2022 14:00,559,516,43,983,910,73,365,303,62,723,644,79
1/3/2022 15:00,819,763,56,1309,1248,61,528,471,57,860,798,61
1/3/2022 16:00,773,732,41,1181,1126,51,467,426,41,849,810,39
1/3/2022 17:00,502,480,22,812,784,26,354,325,29,497,471,26
1/3/2022 18:00,475,453,22,696,666,27,316,283,33,444,423,20
1/3/2022 19:00,370,354,16,656,636,20,296,269,27,445,426,19
1/3/2022 20:00,299,275,24,485,474,11,216,190,26,365,346,19
1/3/2022 21:00,235,225,10,370,356,14,166,151,15,292,277,15
1/3/2022 22:00,184,167,17,278,263,15,127,109,18,199,188,11
1/3/2022 23:00,77,69,8,112,102,9,70,60,10,99,98,1
1/4/2022 0:00,36,32,4,61,52,9,36,27,9,39,39,0
1/4/2022 1:00,14,11,3,42,38,4,13,11,2,45,42,3
1/4/2022 2:00,10,8,2,14,13,1,10,7,3,19,15,4
1/4/2022 3:00,4,2,2,11,7,4,9,7,2,18,12,6
1/4/2022 4:00,11,9,2,18,12,6,8,7,1,20,17,3
1/4/2022 5:00,23,18,5,52,44,8,40,28,12,69,59,10
1/4/2022 6:00,117,105,12,229,207,22,94,65,29,220,200,20
1/4/2022 7:00,530,492,38,1041,986,52,341,289,52,781,723,58
1/4/2022 8:00,666,611,55,763,705,57,486,416,70,640,559,81
1/4/2022 9:00,324,279,45,626,574,52,278,221,57,558,464,94
1/4/2022 10:00,371,330,41,687,643,44,267,217,50,568,480,88
1/4/2022 11:00,382,348,34,769,720,49,276,231,45,601,519,82
1/4/2022 12:00,450,404,46,781,741,40,362,309,52,659,579,80
1/4/2022 13:00,570,520,50,935,885,50,459,379,80,793,699,94
1/4/2022 14:00,766,709,57,1008,955,52,553,484,69,811,727,84
1/4/2022 15:00,874,823,51,1325,1254,64,610,551,59,946,875,71
1/4/2022 16:00,835,795,40,1187,1138,47,563,511,52,789,742,47
1/4/2022 17:00,520,496,24,785,758,26,371,338,33,522,501,21
1/4/2022 18:00,425,399,26,681,657,22,353,317,36,465,445,20
1/4/2022 19:00,494,477,17,655,636,18,301,274,27,443,423,18
1/4/2022 20:00,333,310,23,548,530,18,271,247,24,381,359,22
1/4/2022 21:00,253,238,15,366,353,13,180,168,12,263,249,14
1/4/2022 22:00,169,155,14,282,272,10,106,90,16,165,160,5
1/4/2022 23:00,73,63,10,108,100,7,72,61,11,107,107,0
1/5/2022 0:00,29,25,4,54,48,6,29,24,5,40,40,0
1/5/2022 1:00,16,15,1,24,24,0,16,14,2,30,30,0
1/5/2022 2:00,13,12,1,23,17,6,8,7,1,29,22,6
1/5/2022 3:00,9,7,2,13,10,3,7,5,2,14,10,4
1/5/2022 4:00,11,6,5,19,13,6,9,8,1,9,9,0
1/5/2022 5:00,27,19,8,38,33,5,40,26,14,64,56,8
1/5/2022 6:00,96,81,15,205,179,26,91,59,32,220,199,21
1/5/2022 7:00,520,474,46,998,946,52,354,297,57,774,720,54
1/5/2022 8:00,701,636,64,878,807,67,490,417,73,620,544,76
1/5/2022 9:00,336,295,41,580,523,57,290,229,61,511,418,93
1/5/2022 10:00,290,252,38,631,580,51,259,207,51,436,361,74
