DateTime,Volum_SK,Volum_KO,Volum_BG,Volum_BV
1/1/2022 0:00,303,270,283,313
1/1/2022 1:00,233,148,176,249
1/1/2022 2:00,164,104,148,167
1/1/2022 3:00,106,84,106,116
1/1/2022 4:00,69,46,54,71
1/1/2022 5:00,55,32,28,33
1/1/2022 6:00,55,23,24,49
1/1/2022 7:00,83,36,50,122
1/1/2022 8:00,49,20,29,38
1/1/2022 9:00,36,26,29,54
1/1/2022 10:00,67,46,50,79
1/1/2022 11:00,103,79,101,155
1/1/2022 12:00,200,120,180,217
1/1/2022 13:00,264,172,240,304
1/1/2022 14:00,363,220,319,478
1/1/2022 15:00,387,255,389,497
1/1/2022 16:00,363,216,347,470
1/1/2022 17:00,351,201,307,405
1/1/2022 18:00,286,160,263,330
1/1/2022 19:00,246,165,220,341
1/1/2022 20:00,208,152,236,271
1/1/2022 21:00,206,123,182,287
1/1/2022 22:00,160,81,132,225
1/1/2022 23:00,95,54,88,115
1/2/2022 0:00,66,49,53,89
1/2/2022 1:00,50,31,33,59
1/2/2022 2:00,24,18,18,38
1/2/2022 3:00,18,7,7,26
1/2/2022 4:00,9,7,4,13
1/2/2022 5:00,17,7,11,14
1/2/2022 6:00,46,13,18,45
1/2/2022 7:00,104,35,42,145
1/2/2022 8:00,60,40,49,90
1/2/2022 9:00,84,22,48,103
1/2/2022 10:00,124,65,127,169
1/2/2022 11:00,224,138,183,241
1/2/2022 12:00,359,207,332,387
1/2/2022 13:00,535,355,476,508
1/2/2022 14:00,620,373,554,684
1/2/2022 15:00,652,358,550,661
1/2/2022 16:00,529,260,461,612
1/2/2022 17:00,387,231,401,516
1/2/2022 18:00,357,200,386,455
1/2/2022 19:00,327,225,339,448
1/2/2022 20:00,290,177,265,368
1/2/2022 21:00,242,142,205,324
1/2/2022 22:00,194,106,142,264
1/2/2022 23:00,122,69,84,133
1/3/2022 0:00,57,35,46,62
1/3/2022 1:00,29,19,21,31
1/3/2022 2:00,25,5,7,18
1/3/2022 3:00,16,5,6,19
1/3/2022 4:00,18,7,8,17
1/3/2022 5:00,61,34,28,59
1/3/2022 6:00,231,69,101,223
1/3/2022 7:00,773,309,480,983
1/3/2022 8:00,549,312,399,570
1/3/2022 9:00,443,271,391,553
1/3/2022 10:00,507,300,436,712
1/3/2022 11:00,587,321,432,759
1/3/2022 12:00,633,321,464,839
1/3/2022 13:00,706,400,514,941
1/3/2022 14:00,723,365,559,983
1/3/2022 15:00,860,528,819,1309
1/3/2022 16:00,849,467,773,1181
1/3/2022 17:00,497,354,502,812
1/3/2022 18:00,444,316,475,696
1/3/2022 19:00,445,296,370,656
1/3/2022 20:00,365,216,299,485
1/3/2022 21:00,292,166,235,370
1/3/2022 22:00,199,127,184,278
1/3/2022 23:00,99,70,77,112
1/4/2022 0:00,39,36,36,61
1/4/2022 1:00,45,13,14,42
1/4/2022 2:00,19,10,10,14
1/4/2022 3:00,18,9,4,11
1/4/2022 4:00,20,8,11,18
1/4/2022 5:00,69,40,23,52
1/4/2022 6:00,220,94,117,229
1/4/2022 7:00,781,341,530,1041
1/4/2022 8:00,640,486,666,763
1/4/2022 9:00,558,278,324,626
1/4/2022 10:00,568,267,371,687
1/4/2022 11:00,601,276,382,769
1/4/2022 12:00,659,362,450,781
1/4/2022 13:00,793,459,570,935
1/4/2022 14:00,811,553,766,1008
1/4/2022 15:00,946,610,874,1325
1/4/2022 16:00,789,563,835,1187
1/4/2022 17:00,522,371,520,785
1/4/2022 18:00,465,353,425,681
1/4/2022 19:00,443,301,494,655
1/4/2022 20:00,381,271,333,548
1/4/2022 21:00,263,180,253,366
1/4/2022 22:00,165,106,169,282
1/4/2022 23:00,107,72,73,108
1/5/2022 0:00,40,29,29,54
1/5/2022 1:00,30,16,16,24
1/5/2022 2:00,29,8,13,23
1/5/2022 3:00,14,7,9,13
1/5/2022 4:00,9,9,11,19
1/5/2022 5:00,64,40,27,38
1/5/2022 6:00,220,91,96,205
1/5/2022 7:00,774,354,520,998
1/5/2022 8:00,620,490,701,878
1/5/2022 9:00,511,290,336,580
1/5/2022 10:00,436,259,290,631
1/5/2022 11:00,554,330,392,749
1/5/2022 12:00,595,339,458,828
1/5/2022 13:00,640,441,578,875
1/5/2022 14:00,747,463,594,954
1/5/2022 15:00,894,673,889,1344
1/5/2022 16:00,828,566,835,1207
1/5/2022 17:00,559,415,483,763
1/5/2022 18:00,482,333,455,735
1/5/2022 19:00,355,296,367,615
1/5/2022 20:00,341,268,358,551
1/5/2022 21:00,245,168,241,372
1/5/2022 22:00,171,134,166,272
1/5/2022 23:00,98,67,83,119
1/6/2022 0:00,36,25,31,53
1/6/2022 1:00,22,16,9,36
1/6/2022 2:00,15,8,19,29
1/6/2022 3:00,26,9,8,23
1/6/2022 4:00,35,15,7,20
1/6/2022 5:00,59,32,19,48
1/6/2022 6:00,217,99,98,188
1/6/2022 7:00,750,348,489,977
1/6/2022 8:00,605,539,714,890
1/6/2022 9:00,446,287,361,625
1/6/2022 10:00,490,253,380,626
1/6/2022 11:00,580,310,400,670
1/6/2022 12:00,599,325,433,826
1/6/2022 13:00,680,446,593,922
1/6/2022 14:00,735,484,719,1019
1/6/2022 15:00,901,604,894,1311
1/6/2022 16:00,847,594,861,1231
1/6/2022 17:00,564,359,520,744
1/6/2022 18:00,487,346,463,738
1/6/2022 19:00,371,284,343,665
1/6/2022 20:00,315,244,285,502
1/6/2022 21:00,241,204,269,352
1/6/2022 22:00,192,116,165,287
1/6/2022 23:00,110,66,81,128
1/7/2022 0:00,48,37,32,56
1/7/2022 1:00,33,16,15,26
1/7/2022 2:00,21,15,18,15
1/7/2022 3:00,16,9,7,18
1/7/2022 4:00,28,9,16,25
1/7/2022 5:00,71,48,32,40
1/7/2022 6:00,206,84,93,202
1/7/2022 7:00,741,325,507,963
1/7/2022 8:00,616,510,666,801
1/7/2022 9:00,471,304,378,615
1/7/2022 10:00,568,324,391,695
1/7/2022 11:00,586,375,438,800
1/7/2022 12:00,716,374,496,956
1/7/2022 13:00,829,510,694,1065
1/7/2022 14:00,862,510,741,1128
1/7/2022 15:00,974,619,972,1445
1/7/2022 16:00,809,567,775,1156
1/7/2022 17:00,560,321,491,854
1/7/2022 18:00,455,279,366,657
1/7/2022 19:00,376,252,328,547
1/7/2022 20:00,285,182,281,466
1/7/2022 21:00,243,156,211,361
1/7/2022 22:00,195,118,174,287
1/7/2022 23:00,138,90,103,192
1/8/2022 0:00,120,63,52,138
1/8/2022 1:00,83,49,58,115
1/8/2022 2:00,43,28,36,65
1/8/2022 3:00,40,19,22,31
1/8/2022 4:00,27,5,5,21
1/8/2022 5:00,25,7,5,25
1/8/2022 6:00,53,23,23,63
