Day,Hour,Volum_SK,Volum_KO,Volum_BG,Volum_BV
1,0,303,270,283,313
1,1,233,148,176,249
1,2,164,104,148,167
1,3,106,84,106,116
1,4,69,46,54,71
1,5,55,32,28,33
1,6,55,23,24,49
1,7,83,36,50,122
1,8,49,20,29,38
1,9,36,26,29,54
1,10,67,46,50,79
1,11,103,79,101,155
1,12,200,120,180,217
1,13,264,172,240,304
1,14,363,220,319,478
1,15,387,255,389,497
1,16,363,216,347,470
1,17,351,201,307,405
1,18,286,160,263,330
1,19,246,165,220,341
1,20,208,152,236,271
1,21,206,123,182,287
1,22,160,81,132,225
1,23,95,54,88,115
2,0,66,49,53,89
2,1,50,31,33,59
2,2,24,18,18,38
2,3,18,7,7,26
2,4,9,7,4,13
2,5,17,7,11,14
2,6,46,13,18,45
2,7,104,35,42,145
2,8,60,40,49,90
2,9,84,22,48,103
2,10,124,65,127,169
2,11,224,138,183,241
2,12,359,207,332,387
2,13,535,355,476,508
2,14,620,373,554,684
2,15,652,358,550,661
2,16,529,260,461,612
2,17,387,231,401,516
2,18,357,200,386,455
2,19,327,225,339,448
2,20,290,177,265,368
2,21,242,142,205,324
2,22,194,106,142,264
2,23,122,69,84,133
3,0,57,35,46,62
3,1,29,19,21,31
3,2,25,5,7,18
3,3,16,5,6,19
3,4,18,7,8,17
3,5,61,34,28,59
3,6,231,69,101,223
3,7,773,309,480,983
3,8,549,312,399,570
3,9,443,271,391,553
3,10,507,300,436,712
3,11,587,321,432,759
3,12,633,321,464,839
3,13,706,400,514,941
3,14,723,365,559,983
3,15,860,528,819,1309
3,16,849,467,773,1181
3,17,497,354,502,812
3,18,444,316,475,696
3,19,445,296,370,656
3,20,365,216,299,485
3,21,292,166,235,370
3,22,199,127,184,278
3,23,99,70,77,112
4,0,39,36,36,61
4,1,45,13,14,42
4,2,19,10,10,14
4,3,18,9,4,11
4,4,20,8,11,18
4,5,69,40,23,52
4,6,220,94,117,229
4,7,781,341,530,1041
4,8,640,486,666,763
4,9,558,278,324,626
4,10,568,267,371,687
4,11,601,276,382,769
4,12,659,362,450,781
4,13,793,459,570,935
4,14,811,553,766,1008
4,15,946,610,874,1325
4,16,789,563,835,1187
4,17,522,371,520,785
4,18,465,353,425,681
4,19,443,301,494,655
4,20,381,271,333,548
4,21,263,180,253,366
4,22,165,106,169,282
4,23,107,72,73,108
5,0,40,29,29,54
5,1,30,16,16,24
5,2,29,8,13,23
5,3,14,7,9,13
5,4,9,9,11,19
5,5,64,40,27,38
5,6,220,91,96,205
5,7,774,354,520,998
5,8,620,490,701,878
5,9,511,290,336,580
5,10,436,259,290,631
5,11,554,330,392,749
5,12,595,339,458,828
5,13,640,441,578,875
5,14,747,463,594,954
5,15,894,673,889,1344
5,16,828,566,835,1207
5,17,559,415,483,763
5,18,482,333,455,735
5,19,355,296,367,615
5,20,341,268,358,551
5,21,245,168,241,372
5,22,171,134,166,272
5,23,98,67,83,119
6,0,36,25,31,53
6,1,22,16,9,36
6,2,15,8,19,29
6,3,26,9,8,23
6,4,35,15,7,20
6,5,59,32,19,48
6,6,217,99,98,188
6,7,750,348,489,977
6,8,605,539,714,890
6,9,446,287,361,625
6,10,490,253,380,626
6,11,580,310,400,670
6,12,599,325,433,826
6,13,680,446,593,922
6,14,735,484,719,1019
6,15,901,604,894,1311
6,16,847,594,861,1231
6,17,564,359,520,744
6,18,487,346,463,738
6,19,371,284,343,665
6,20,315,244,285,502
6,21,241,204,269,352
6,22,192,116,165,287
6,23,110,66,81,128
7,0,48,37,32,56
7,1,33,16,15,26
7,2,21,15,18,15
7,3,16,9,7,18
7,4,28,9,16,25
7,5,71,48,32,40
7,6,206,84,93,202
7,7,741,325,507,963
7,8,616,510,666,801
7,9,471,304,378,615
7,10,568,324,391,695
7,11,586,375,438,800
7,12,716,374,496,956
7,13,829,510,694,1065
7,14,862,510,741,1128
7,15,974,619,972,1445
7,16,809,567,775,1156
7,17,560,321,491,854
7,18,455,279,366,657
7,19,376,252,328,547
7,20,285,182,281,466
7,21,243,156,211,361
7,22,195,118,174,287
7,23,138,90,103,192
8,0,120,63,52,138
8,1,83,49,58,115
8,2,43,28,36,65
8,3,40,19,22,31
8,4,27,5,5,21
8,5,25,7,5,25
8,6,53,23,23,63
8,7,116,46,63,155
8,8,105,79,78,120
8,9,181,92,130,268
8,10,279,156,238,406
8,11,412,209,309,590
8,12,584,279,425,731
8,13,649,338,507,841
8,14,787,401,617,973
8,15,713,381,613,1001
8,16,630,308,491,883
8,17,546,309,467,742
8,18,442,272,408,640
8,19,298,189,263,403
8,20,256,146,218,286
8,21,255,119,200,279
8,22,205,127,161,249
8,23,133,85,117,197
9,0,132,71,95,163
9,1,86,67,80,141
9,2,71,36,46,106
9,3,49,20,28,75
9,4,31,11,10,36
9,5,23,10,8,20
9,6,39,16,18,45
9,7,99,43,61,147
9,8,68,36,42,115
9,9,96,46,61,112
9,10,155,85,124,179
9,11,275,149,169,243
9,12,364,212,322,424
9,13,495,369,445,518
9,14,581,347,480,632
9,15,618,313,483,677
9,16,505,277,427,540
9,17,398,233,352,545
9,18,376,234,407,498
9,19,349,246,381,435
9,20,285,216,291,406
9,21,233,141,207,345
9,22,172,112,126,252
9,23,93,63,72,104
10,0,58,29,29,46
10,1,34,15,23,25
10,2,19,8,11,18
10,3,13,5,7,15
10,4,13,12,3,13
10,5,68,39,31,54
10,6,222,97,108,256
10,7,788,404,565,1071
10,8,676,516,659,831
10,9,567,318,378,659
10,10,610,290,377,662
10,11,590,347,457,771
10,12,666,355,478,836
10,13,777,443,544,901
10,14,829,470,693,1000
10,15,942,663,923,1348
10,16,928,643,923,1276
10,17,587,406,520,813
10,18,490,360,477,662
10,19,394,320,384,687
10,20,363,269,303,545
10,21,263,143,211,348
10,22,187,122,170,260
10,23,128,65,67,108
11,0,35,21,24,50
11,1,14,13,11,23
11,2,9,3,4,15
11,3,12,5,5,10
11,4,12,9,5,14
11,5,53,36,31,48
11,6,231,90,105,244
11,7,827,421,578,1122
11,8,647,540,733,830
11,9,523,272,337,648
11,10,627,359,400,665
11,11,651,379,458,782
11,12,685,350,474,822
11,13,713,469,623,945
11,14,837,541,799,1082
11,15,991,668,957,1397
11,16,807,568,915,1247
11,17,540,410,558,784
11,18,485,372,450,738
11,19,430,344,451,662
11,20,419,267,355,560
11,21,269,171,260,368
11,22,176,94,157,265
11,23,119,77,94,121
12,0,31,30,27,35
12,1,22,8,7,20
12,2,20,7,10,14
12,3,12,2,3,11
12,4,15,11,6,14
12,5,54,35,27,42
12,6,241,107,113,243
12,7,804,412,554,1080
12,8,644,575,746,825
12,9,511,308,337,636
12,10,529,305,399,647
12,11,566,357,422,715
12,12,586,319,444,735
12,13,695,416,541,904
12,14,766,571,705,1029
12,15,966,690,974,1307
12,16,791,563,787,1117
12,17,466,362,454,697
12,18,388,309,398,553
12,19,318,270,310,540
12,20,284,239,277,438
12,21,209,155,213,300
12,22,185,122,154,224
12,23,90,81,70,112
13,0,35,35,21,35
13,1,29,5,12,27
13,2,14,3,9,13
13,3,8,3,5,11
13,4,26,12,7,19
13,5,47,35,21,44
13,6,233,94,102,234
13,7,783,405,529,1078
13,8,655,566,737,836
13,9,467,311,339,631
13,10,491,254,360,694
13,11,538,363,465,685
13,12,623,399,473,773
13,13,706,498,627,955
13,14,785,524,824,1080
13,15,883,665,926,1371
13,16,826,606,855,1150
13,17,498,366,511,750
13,18,485,331,464,684
13,19,364,305,398,621
13,20,376,217,303,540
13,21,217,125,243,313
13,22,184,119,185,271
13,23,115,78,85,123
14,0,51,31,33,47
14,1,25,17,16,26
14,2,22,4,14,14
14,3,25,4,8,11
14,4,17,11,9,16
